sentence_id,original_text,falc_text,falc
11,"Alors qu'ils s'enfonçaient toujours plus profondément dans les bois, Émilie demanda : – Où allons-nous ? – Nous allons voir la reine du monde magique. Je dois te présenter à elle. En outre, elle pourra certainement nous aider à retrouver ton frère, lui répondit-il. Bientôt, ils arrivèrent devant une grotte qu'Émilie n'avait jamais vue auparavant. Sans doute, cette grotte devait être invisible aux humains. Léo y entra sans hésitation. Émilie le suivit. Mais, plus ils avançaient dans la grotte, plus il faisait sombre et bientôt Émilie ne parvint plus à distinguer quoi que ce soit. – Léo, Léo ? appela-t-elle à plusieurs reprises. S'il te plaît, Léo, aide-moi à trouver mon chemin dans le noir. Ce n'est pas drôle. Léo lui répondit: – Prends la pierre du soleil dans ta poche et demandelui de t'aider. Suivant ses conseils, Émilie glissa sa main dans sa poche et en ressortit la pierre. Elle brillait doucement, éclairant la paume de sa main.","« Où allons-nous, Léo ? » « Nous allons voir la reine du monde magique. Notre reine peut nous aider. » Émilie et Léo arrivent devant une grotte. Ils entrent dans la grotte. Il fait tout noir. « J'ai peur dans le noir. » « Sors la pierre du Soleil de ta poche. La pierre du Soleil va t'éclairer.» Émilie prend la pierre du Soleil dans sa main.","Émilie se demandait où ils allaient. Léo répondit : ""Nous allons voir la reine du monde magique. Je dois te présenter à elle. Elle peut peut-être nous aider à retrouver ton frère."" Ils arrivèrent devant une grotte qu'Émilie n'avait jamais vue. Léo entra sans hésiter. Émilie le suivit. Mais, plus ils avançaient, plus il faisait sombre et bientôt Émilie ne pouvait plus voir. Elle appelait Léo : ""Léo, Léo, aide-moi à trouver mon chemin."" Léo lui dit : ""Prends la pierre du soleil dans ta poche et demande-lui d'aider toi."" Émilie prit la pierre et elle commença à éclairer la main de sa main."
12,"Léo et Émilie furent soulagés. Ouf ! Ils étaient en sécurité pour le moment! Ils sortirent de derrière les sacs et se dirigèrent au bout de la ruelle. Arrivés à l'extrémité, Léo poussa quelques branches et un trou sans fond apparut à leurs pieds. Émilie se pencha au-dessus de la fosse et dit: – Ce ne sont quand même pas les… – … Égouts ? Si, si, termina Léo. Si nous voulons nous en sortir, c'est la seule solution. Suis-moi mais fais attention ! On ne sait jamais sur qui on peut tomber dans cet endroit. Tout ceci ne rassurait pas vraiment Émilie. Elle grimaça mais ce n'était pas le moment de jouer les princesses. Elle se glissa donc dans le trou à la suite du renard. Heureusement, la pierre à son cou brillait toujours et lui permettait de voir devant elle. Ils passaient d'un couloir à l'autre. Émilie se demandait bien comment Léo arrivait à se repérer parmi toutes ces galeries toutes plus sales les unes que les autres. Alors qu'ils poursuivaient leur chemin, Émilie finit par poser à Léo la question qui lui brûlait les lèvres depuis qu'ils avaient quitté le palais. – Que s'est-il passé ? Qu'avons-nous fait de mal pour que les loups nous attaquent ainsi ? Tu m'avais bien dit qu'ils n'attaquaient que sur ordre de la reine ?","Ouf ! Émilie et Léo sont sauvés. « Il y a les égouts au bout de la rue. Nous allons passer par les égouts. Les loups ne pourront pas nous suivre. » « Es-tu vraiment sûr ? » « Oui. C'est la seule solution. » « Bon, je te suis. » Émilie et Léo entrent dans les égouts. Il fait tout noir mais la pierre du Soleil éclaire leur chemin. « Pourquoi les loups nous ont-ils attaqués ? »","Léo et Émilie se sentirent soulagés. Ils étaient en sécurité pour l'instant! Ils sortirent de derrière les sacs et marchèrent vers la fin de la ruelle. Arrivés à la fin, Léo poussa quelques branches et un trou sans fond apparut à leurs pieds. Émilie se pencha au-dessus de la fosse et dit: – Ce ne sont pas les égouts, non ? Oui, oui, répondit Léo. Si nous voulons nous en sortir, c'est la seule solution. Suis-moi, mais prends garde ! On ne sait jamais sur qui on peut tomber dans cet endroit. Cela ne rassura pas vraiment Émilie. Elle grimaça mais ce n'était pas le moment de jouer les princesses. Elle se glissa donc dans le trou à la suite du renard. Heureusement, la pierre à son cou brillait toujours et lui permettait de voir devant elle. Ils passaient d'un couloir à l'autre. Émilie se demandait comment Léo"
13,"Lorsqu'ils furent tous les deux entièrement recouverts de boue, Léo dessina sur le sol une carte avec ses pattes pour expliquer son plan à Émilie car ils devraient ensuite rester silencieux tout le long de la traversée. Il fit d'abord deux croix et expliqua : – Nous sommes ici et nous devons aller là-bas. Puis, en dessinant un rond, il ajouta : – Les renifleurs sont ici. Enfin, il traça une ligne et conclut : – Cette ligne représente le chemin que nous devrons prendre pour que le vent nous aide à cacher notre odeur. Je pense que tu avais déjà deviné pourquoi nous les appelons ainsi. Émilie commençait à trouver que ce monde magique n'avait rien de drôle : tout d'abord, les loups scorpions, puis les poubelles, les égouts et maintenant, les taupes « renifleuses ». Cependant, elle faisait confiance à Léo et son plan semblait parfait. Les deux complices se mirent à plat ventre et commencèrent à avancer en silence en s'appuyant sur les genoux et les coudes.","Léo dessine une carte sur le sol pour expliquer son plan à Émilie. « Il n'est pas drôle ton monde, Léo. Les loups scorpions, les poubelles, les égouts… Et les taupes renifleuses. » « La reine nous a prévenus des dangers. Mais fais-moi confiance. » « OK, je te suis. » Émilie et Léo se couchent sur le ventre. Ils avancent tout doucement sans faire de bruit.","Léo dessina sur le sol une carte pour expliquer son plan à Émilie. Il fit deux croix pour montrer leur position et une boule pour indiquer où les renifleurs étaient. Puis, il dessina une ligne pour montrer le chemin qu'ils devraient suivre pour que le vent les cache. Léo pensait que son plan était bon. Émilie commençait à trouver que ce monde était étrange : les loups scorpions, les poubelles, les égouts et maintenant, les taupes qui reniflent. Cependant, elle avait confiance en Léo et son plan semblait parfait. Les deux amis se mettent à plat ventre et commencent à avancer en silence en s'appuyant sur les genoux et les coudes."
14,"– Nicolas! Nicolas! appela alors Émilie car elle seule pouvait utiliser les pouvoirs de la pierre du Soleil et parler avec Léo. Nicolas, assis au fond du nid, leva la tête en entendant la voix d'Émilie. Et quelle ne fut pas sa surprise en voyant Léo assis sur le bord du nid. – Mais que faites-vous ici ? demanda Nicolas. Émilie lui répondit simplement: – Nous n'avons pas beaucoup de temps. Il faut qu'on te sorte de là, très vite avant que l'aigle ne revienne. Je t'expliquerai plus tard toute cette histoire. Nicolas essaya de se lever sans y parvenir. – Je crois que ma jambe est cassée, dit-il. Impossible d'escalader le nid avec une jambe cassée ! – Émilie, nous allons encore avoir besoin de l'eau de la fontaine magique ! proposa Léo. Aussitôt, Émilie fouilla dans son sac et donna à Léo la gourde qui contenait le reste de l'eau de la fontaine magique. Celui-ci la prit et grimpa à nouveau sur les épaules d'Émilie avant de sauter dans le nid. – Bois l'eau de la gourde que t'apporte Léo. Fais-moi confiance, elle va guérir ta jambe, cria Émilie à Nicolas.","Nicolas est très surpris de voir Léo. « Que fais-tu là, Léo ?» « Léo et moi sommes venus te chercher. Nous devons nous sauver très vite avant le retour de l'aigle. » « Je ne peux pas bouger. J'ai la jambe cassée. » « Bois l'eau de cette gourde. Fais-moi confiance. Cette eau va guérir ta jambe. »","Nicolas, Émilie est venue pour vous aider. Seul elle peut parler avec Léo et utiliser la pierre du Soleil. Nicolas, assis au fond du nid, a levé la tête à la voix d'Émilie. Il a été surpris de voir Léo sur le bord du nid. ""Qu'est-ce que tu fais ici?"" a demandé Nicolas. Émilie a répondu simplement : ""Nous n'avons pas beaucoup de temps. Tu dois sortir de là, très vite, avant que l'aigle ne revienne. Je te raconterai plus tard toute cette histoire. "" Nicolas a essayé de se lever mais n'a pas pu. ""Ma jambe est cassée,"" a-t-il dit. Il ne peut pas grimper dans le nid avec une jambe cassée ! ""Émilie, nous allons encore avoir besoin de l'eau de la fontaine magique,"" a proposé Léo. Immediatement, Émilie a fouillé dans son sac et a donné à Léo la"
15,"Nicolas, Émilie et Léo retenaient leur souffle. Il ne fallait surtout pas faire de bruit sinon l'aigle risquait de les repérer. Soudain, il passa au-dessus d'eux sans les voir. Léo fit signe à ses deux amis qu'il était temps de filer et il se mit à courir devant eux pour leur indiquer le chemin. Cependant, Nicolas ne pouvait pas courir aussi vite que les autres car sa jambe, même guérie, restait fragile. Alors qu'il tentait de les rattraper, l'aigle le vit et fonça sur lui, serres en avant, prêt à l'attraper. – Oh non ! gémit Émilie. Nicolas eut tout juste le temps de se précipiter derrière un nid avant que les serres ne se referment sur son dos. – Ouf ! Il s'en est fallu de peu. Il ne va certainement pas en rester là. Il va revenir. Heureusement, j'ai une idée ! dit Émilie. Elle prit dans sa main la pierre du Soleil qui pendait à son cou. La pierre réagit immédiatement et se mit à briller fortement. Comme avec le renifleur, Émilie espérait éblouir l'elki avec la pierre. Elle leva le bras le plus haut qu'elle put et dirigea la pierre en direction des yeux de l'elki. Celui-ci, agacé d'avoir laissé échapper sa proie, volait dans tous les sens et elle se trouvait relativement loin de lui. Elle faisait du mieux qu'elle pouvait mais elle n'était pas sûre d'y parvenir !","« Nous devons partir très vite. » Les 3 amis partent en courant. Mais Nicolas ne peut pas courir car il a encore mal à sa jambe. Soudain, l'aigle fonce sur Nicolas. Ouf ! Nicolas a pu se cacher avant l'arrivée de l'aigle. « L'aigle va revenir. J'ai une idée pour échapper à l'aigle. Je vais éblouir l'aigle avec la pierre du Soleil. »","Amis Nicolas, Émilie et Léo se tenaient en silence, ne faisant pas de bruit pour ne pas attirer l'attention de l'aigle. L'aigle passa au-dessus d'eux sans les voir. Léo signala à ses amis de courir et prit la tête du groupe pour les guider. Cependant, la jambe de Nicolas, bien que guérie, restait fragile et il ne pouvait pas courir aussi vite que les autres. Alors qu'il tentait de les rattraper, l'aigle le vit et plongea sur lui, griffes en avant, prêt à l'attraper. – Oh non ! pleura Émilie. Nicolas eut juste le temps de se cacher derrière un nid avant que les griffes ne le touchent. – Phew ! Il a manqué de peu. Il ne va pas en rester là. Il reviendra. Heureusement, j'ai une idée ! dit Émilie. Elle prit la pierre du Soleil qui pend"
16,Nous sommes en 1872. Phileas Fogg est un gentleman anglais. On ne sait pas grand-chose de lui. Il est assez mystérieux. Phileas Fogg n'a pas quitté Londres depuis des années.,L'histoire se passe en 1872. Phileas Fogg est le héros anglais de l'histoire. Phileas Fogg vit à Londres. Londres est une ville en Angleterre. lhistoire le héros anglais Londres l'Angleterre,"Phileas Fogg est un gentleman anglais qui vit à Londres depuis longtemps. On ne sait pas beaucoup de choses sur lui. Il est un mystérieux. Phileas Fogg n'a pas quitté Londres depuis des années.

Un jour, il annonce qu'il va faire le tour du monde en 80 jours. Personne ne croit à son projet. Mais Phileas Fogg est déterminé.

Il part avec son valet, Passepartout, et ils voyagent à travers l'Inde, l'Asie, l'Amérique et l'Europe. Ils rencontrent des difficultés, mais Phileas Fogg ne s'arrête pas.

Finalement, ils arrivent à Londres après 80 jours exactement. Phileas Fogg a gagné une grande somme d'argent. Personne ne pouvait le croire, mais il a réussi son aventure.

Phileas Fogg est un homme déterminé et courageux. Il a prouvé qu'il est possible de faire le tour du monde en 80 jours"
17,"Sept jours après le départ des 2 hommes, le détective Fix fait paraître une dépêche demandant l'arrestation de Phileas Fogg. Le détective Fix pense que Phileas Fogg est le gentleman qui a cambriolé la banque d'Angleterre et qu'il a entrepris ce tour du monde dans le seul but d'échapper à la police.","un détective Il a cambriolé. la banque la police 7 jours après le départ de Phileas Fogg et Passepartout, le détective Fix accuse Phileas Fogg : « C'est Phileas Fogg qui a cambriolé la banque d'Angleterre. Je suis sûr que Phileas Fogg fait le tour du monde pour échapper à la police ! »","Sept jours après leur départ, le détective Fix publie un avis d'arrêt pour Phileas Fogg. Il pense que Phileas Fogg est le voleur de la banque d'Angleterre et qu'il a commencé son tour du monde pour échapper à la police. Il est important d'arrêter Phileas Fogg immédiatement."
18,"A Hong-Kong, Phileas Fogg, Passepartout, Fix et Aouda manquent le départ pour le Japon. Passepartout va sur le port pour réserver le bateau. Passepartout rencontre l'inspecteur Fix sur le port. « Le 28 septembre un vol a été commis à la banque d' Angleterre par un individu ressemblant étrangement à Mr Fogg - Mon maître est le plus honnête homme du monde. » L'inspecteur Fix glisse dans la main de Passepartout une pipe chargée d'opium. Passepartout s'endort.","Le train arrive à Hong-Kong. Phileas Fogg, Passepartout et Aouda veulent prendre le bateau pour le Japon. L'inspecteur Fix parle avec Passepartout. « Phileas Fogg a volé la banque d'Angleterre. Il faut m'aider à l'arrêter. - Phileas Fogg n'est pas un voleur ! » L'inspecteur Fix donne de la drogue à Passepartout. Passepartout s'endort. Hong-Kong Il parle. de la drogue . Il s'endort.","À Hong-Kong, Phileas Fogg, Passepartout, Fix et Aouda manquent le bateau pour le Japon. Passepartout va au port pour réserver un autre bateau. Il rencontre l'inspecteur Fix sur le port. L'inspecteur Fix dit à Passepartout : ""Le 28 septembre, un vol a été commis à la banque d'Angleterre par un homme qui ressemble beaucoup à M. Fogg. Mais mon maître est le plus honnête homme du monde."" L'inspecteur Fix donne une pipe chargée d'opium à Passepartout. Passepartout s'endort.

Passepartout s'endort et ne prend pas la pipe. Il se réveille plus tard et continue à aider Phileas Fogg et les autres à voyager autour du monde."
19,"Comment Phileas Fogg a-t-il pu se tromper d'un jour ? En voyageant vers l'Est, il a vu le soleil se lever 80 fois alors que ses amis restés à Londres ne l'ont vu se lever que 79 fois. Peu importe ! En faisant son tour du monde en 80 jours Phileas Fogg a vécu de nombreuses aventures. Il a gagné son pari, mais il a surtout rencontré Aouda, sa charmante épouse, qui le rend le plus heureux des hommes. Ne ferait-on pas pour moins que cela le tour du monde ?",des aventures Il a gagné. Il est très heureux. le tour du monde Phileas Fogg a vécu beaucoup d'aventures. Il a gagné son pari. Il a rencontré Aouda. Il est très heureux. Il a bien fait de faire le tour du monde ! F I N,"Phileas Fogg voyagé vers l'Est et vit le soleil lever 80 fois. Cela ne change rien, car il a gagné son pari. Il a vécu de nombreuses aventures. Il a rencontré Aouda, sa belle épouse, qui le rend heureux. N'importe quoi, il aurait fait le tour du monde pour elle."
20,"– Monsieur de Peyrehorade nous dit à Jean Coll et moi de déraciner un vieil olivier qui était gelé. Jean Coll qui y allait de tout cœur, il donne un coup de pioche et j'entends bimm... Et voilà qu'il paraît une main noire, qui semblait la main d'un mort. Moi, la peur me prend. Je m'en vais à Monsieur et je lui dis : – Des morts, sous l'olivier ! Il vient et il s'écrie. Vous auriez cru qu'il avait trouvé un trésor. Et le voilà, avec la pioche, avec les mains, qui se démène.","« L'arbre était gelé. Monsieur de Peyrehorade a dit d'enlever l'arbre avec Jean. Jean a tapé sur quelque chose avec une pelle. Quand Jean a tapé, il y a eu un bruit. Une main noire sortait de la terre. J'avais très peur. Je vais voir Monsieur de Peyrehorade. Je dis à Monsieur de Peyrehorade que j'ai vu un mort. Monsieur de Peyrehorade est content. Il dit que c'est un trésor. Il creuse ».","Olivier gelé, Monsieur de Peyrehorade nous a dit à Jean Coll et moi de le déraciner. Jean Coll, avec enthousiasme, donne un coup de pioche. Puis je l'entends hurler : ""Bimm!"" Et voilà qu'une main noire apparaît, semblable à celle d'un mort. Je suis effrayé. Je vais à Monsieur et lui dis : ""Des morts, sous l'olivier !"" Il vient et il hurle comme s'il avait trouvé un trésor. Et voilà, il se met à travailler avec la pioche et ses mains."
